Stock quote and option quote for IBM on 10/25/19 20:46:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
135.44,N,+1.37,135.30,P,135.70,P,5 x 5,"2,579,055",134.12,135.93,134.10

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
4.78%,15.75,1.62,Q,8/8/19,152.95,105.94,"885,875,160",1.12

Theo parameters
Theo date,Theo stock price,Theo volatility
10/25/19, 0.00$, 0.00%

25 OCT 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,IBM191025C123,0,2,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-10.79%,0.00%,12.400,31 x 9,31,9,0.00%,11.55,11.55,Q,0,0,0,11.60,X,13.20,B,25 OCT 19,123,0,B,.05,C,IBM191025P123,0,87,-.012,.005,-.168,.002,.00,82.42%,.0248135,0.17%,0.02%,1.35%,2.68%,98.65%,6.74%,<empty>,.025,0 x 54,0,54,0.00%,.01,.01,P,0,0,0,,
,,IBM191025C124,0,2,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-31.01%,0.00%,11.325,1 x 9,1,9,0.00%,8.14,8.14,C,0,0,0,10.50,E,12.15,B,25 OCT 19,124,0,Q,.03,P,IBM191025P124,0,721,-.009,.005,-.121,.002,.00,71.50%,.01502372,0.10%,0.01%,0.97%,1.93%,99.03%,4.05%,<empty>,.015,0 x 22,0,22,0.00%,.01,.01,Q,0,0,0,,
,,IBM191025C125,0,3,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-44.50%,0.00%,10.275,1 x 9,1,9,0.00%,7.80,7.80,N,0,0,0,9.45,E,11.10,B,25 OCT 19,125,0,Z,.01,Z,IBM191025P125,10,627,-.004,.003,-.062,.001,.00,57.90%,.00499993,0.03%,0.00%,0.43%,0.85%,99.57%,1.35%,<empty>,.005,0 x 1,0,1,0.00%,.01,.01,C,.01,.01,.01,,
,,IBM191025C126,0,16,.931,.014,-.449,.009,.002,89.77%,9.58,<empty>,<empty>,93.48%,12.89%,6.52%,36.41%,36.41%,9.575,31 x 31,31,31,<empty>,0,0, ,0,0,0,8.65,I,10.50,I,25 OCT 19,126,0,C,.03,P,IBM191025P126,14,165,-.010,.007,-.114,.002,.00,60.15%,.01537236,0.08%,0.01%,1.14%,2.26%,98.86%,4.05%,<empty>,.015,0 x 22,0,22,0.00%,.01,.01,C,.01,.01,.01,,
,,IBM191025C127,0,23,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-10.79%,0.00%,8.400,21 x 21,21,21,0.00%,4.55,4.55,Q,0,0,0,7.50,M,9.30,M,25 OCT 19,127,0,Z,.08,X,IBM191025P127,12,287,-.024,.013,-.189,.004,.00,62.51%,.04000139,0.21%,0.03%,2.57%,5.10%,97.43%,10.79%,<empty>,.040,0 x 109,0,109,+100.00%,.02,.02,C,.02,.02,.02,,
,,IBM191025C128,0,22,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-4.05%,0.00%,7.425,9 x 9,9,9,0.00%,5.15,5.15,A,0,0,0,6.80,B,8.05,B,25 OCT 19,128,0,N,.02,N,IBM191025P128,40,287,-.009,.008,-.080,.002,.00,45.89%,.01001006,0.05%,0.01%,0.97%,1.93%,99.03%,2.70%,<empty>,.010,0 x 5,0,5,0.00%,.01,.01,N,.01,.01,.01,,
,,IBM191025C129,2,121,.952,.006,-.178,.007,.001,49.79%,6.45,<empty>,<empty>,96.81%,6.34%,3.19%,2.70%,2.70%,6.450,10 x 11,10,11,+16.12%,5.98,5.98,A,5.57,5.98,5.57,6.35,J,6.55,H,25 OCT 19,129,0,N,.01,N,IBM191025P129,35,635,-.006,.006,-.051,.001,.00,37.05%,.005,0.02%,0.00%,0.62%,1.24%,99.38%,1.35%,<empty>,.005,0 x 1,0,1,-66.67%,.01,.01,J,.01,.02,.01,,
,,IBM191025C130,7,179,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-10.79%,0.00%,5.400,21 x 1,21,1,+37.35%,5.70,5.70,Q,4.95,5.70,4.95,5.30,I,5.50,C,25 OCT 19,130,0,A,.01,A,IBM191025P130,22,719,-.007,.008,-.047,.001,.00,31.78%,.00500001,0.02%,0.00%,0.71%,1.41%,99.29%,1.35%,<empty>,.005,0 x 2,0,2,-50.00%,.01,.01,C,.02,.02,.01,,
,,IBM191025C131,1,171,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-10.79%,0.00%,4.400,50 x 3,50,3,+44.64%,4.05,4.05,N,4.05,4.05,4.05,4.30,X,4.50,Z,25 OCT 19,131,0,Q,.01,Q,IBM191025P131,38,674,-.008,.012,-.043,.002,.00,26.46%,.00500325,0.02%,0.00%,0.83%,1.66%,99.17%,1.35%,<empty>,.005,0 x 6,0,6,-75.00%,.01,.01,C,.02,.02,.01,,
,,IBM191025C132,48,358,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-4.05%,0.00%,3.425,11 x 6,11,6,+73.27%,3.50,3.50,P,2.51,3.86,2.51,3.35,H,3.50,Z,25 OCT 19,132,0,B,.03,W,IBM191025P132,86,830,-.023,.031,-.073,.004,.00,24.55%,.01472902,0.06%,0.01%,2.33%,4.64%,97.67%,4.05%,<empty>,.015,0 x 33,0,33,-83.33%,.01,.01,I,.04,.04,.01,,
,,IBM191025C133,94,742,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-4.05%,0.00%,2.425,21 x 3,21,3,+90.08%,2.30,2.30,H,1.62,2.83,1.58,2.36,D,2.49,Q,25 OCT 19,133,0,H,.01,H,IBM191025P133,94,757,-.013,.030,-.034,.002,.00,15.56%,.00500172,0.02%,0.00%,1.32%,2.64%,98.68%,1.35%,<empty>,.005,0 x 15,0,15,-93.33%,.01,.01,I,.05,.05,.01,,
,,IBM191025C134,879,895,.940,.115,-.057,.008,.002,13.06%,1.46,<empty>,<empty>,93.92%,12.08%,6.08%,4.05%,4.05%,1.455,1 x 10,1,10,+240.43%,1.60,1.60,Q,.65,1.88,.43,1.40,X,1.51,C,25 OCT 19,134,0,Q,.01,C,IBM191025P134,186,343,-.019,.068,-.027,.003,.00,9.83%,.00498967,0.02%,0.00%,1.98%,3.93%,98.02%,1.35%,<empty>,.005,0 x 1,0,1,-97.50%,.01,.01,I,.26,.26,.01,,
,,IBM191025C135,"1,534","1,778",1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-6.74%,0.00%,.415,21 x 7,21,7,+292.86%,.55,.55,P,.16,.96,.12,.35,H,.48,Z,25 OCT 19,135,0,N,.01,C,IBM191025P135,864,490,-.047,.382,-.017,.007,.00,3.62%,.0049995,0.02%,0.00%,4.72%,9.28%,95.28%,1.35%,<empty>,.005,0 x 1,0,1,-97.22%,.03,.03,B,.69,.80,.01,,
,,IBM191025C136,"3,324",946,.063,.332,-.026,.009,.00,5.24%,.01008687,<empty>,<empty>,6.23%,12.64%,93.77%,2.70%,153.71%,.010,0 x 5,0,5,-80.00%,.01,.01,I,.05,.25,.01,0,Z,.02,Z,25 OCT 19,136,.52,P,.65,Z,IBM191025P136,168,227,-.923,.361,-.042,.010,-.003,5.64%,.58504154,2.16%,0.43%,92.35%,15.52%,7.65%,6.74%,<empty>,.585,1 x 3,1,3,-76.64%,.50,.50,C,1.78,1.78,.41,,
,,IBM191025C137,285,859,.018,.060,-.027,.003,.00,10.54%,.00498872,<empty>,<empty>,1.82%,3.66%,98.18%,1.35%,422.03%,.005,0 x 111,0,111,0.00%,.02,.02,C,.02,.06,.02,0,N,.01,N,25 OCT 19,137,1.51,H,1.65,Q,IBM191025P137,51,71,-.972,.079,-.049,.005,-.004,11.54%,1.58,5.83%,1.17%,97.22%,5.61%,2.78%,5.39%,<empty>,1.580,11 x 3,11,3,-51.20%,1.62,1.62,P,2.31,2.70,1.55,,
,,IBM191025C138,55,468,.013,.029,-.034,.002,.00,16.05%,.0050019,<empty>,<empty>,1.24%,2.49%,98.76%,1.35%,691.71%,.005,0 x 32,0,32,0.00%,.01,.01,Q,.01,.02,.01,0,Q,.01,Q,25 OCT 19,138,2.51,P,2.67,Z,IBM191025P138,47,119,-.965,.055,-.084,.005,-.004,19.75%,2.59,9.56%,1.91%,96.60%,6.83%,3.40%,8.09%,<empty>,2.590,1 x 3,1,3,-34.94%,2.57,2.57,Q,3.30,3.30,2.22,,
,,IBM191025C139,0,177,.017,.025,-.058,.003,.00,23.39%,.01009694,<empty>,<empty>,1.65%,3.31%,98.35%,2.70%,962.72%,.010,0 x 10,0,10,0.00%,.03,.03,C,0,0,0,0,P,.02,P,25 OCT 19,139,3.50,H,3.65,H,IBM191025P139,8,121,-.991,.016,-.047,.002,-.004,20.91%,3.58,13.20%,2.64%,99.14%,1.72%,0.86%,4.05%,<empty>,3.575,10 x 11,10,11,-27.88%,3.57,3.57,C,4.32,4.32,3.25,,
,,IBM191025C140,20,353,.008,.012,-.043,.002,.00,26.32%,.00500357,<empty>,<empty>,0.78%,1.57%,99.22%,1.35%,1231.05%,.005,0 x 10,0,10,-75.00%,.01,.01,Z,.01,.01,.01,0,P,.01,P,25 OCT 19,140,4.50,Z,4.65,H,IBM191025P140,12,72,-.992,.011,-.051,.001,-.004,25.96%,4.58,16.89%,3.38%,99.29%,1.43%,0.71%,4.05%,<empty>,4.575,3 x 11,3,11,-23.45%,4.70,4.70,X,5.47,5.47,4.30,,
,,IBM191025C141,0,309,.007,.009,-.047,.001,.00,31.22%,.00499855,<empty>,<empty>,0.66%,1.33%,99.34%,1.35%,1500.72%,.005,0 x 10,0,10,0.00%,.01,.01,C,0,0,0,0,Z,.01,Z,25 OCT 19,141,5.50,P,5.70,P,IBM191025P141,0,21,-.972,.022,-.142,.004,-.004,39.92%,5.60,20.67%,4.14%,97.38%,5.26%,2.62%,10.79%,<empty>,5.600,1 x 1,1,1,0.00%,6.95,6.95,P,0,0,0,,
,,IBM191025C142,0,"2,531",.006,.007,-.050,.001,.00,36.00%,.00499868,<empty>,<empty>,0.58%,1.16%,99.42%,1.35%,1770.39%,.005,0 x 20,0,20,0.00%,.01,.01,Q,0,0,0,0,Z,.01,H,25 OCT 19,142,5.80,E,7.80,B,IBM191025P142,0,2,-.900,.036,-.471,.012,-.004,69.59%,6.80,25.10%,5.03%,90.65%,18.89%,9.35%,64.72%,<empty>,6.800,1 x 9,1,9,0.00%,8.10,8.10,N,0,0,0,,
,,IBM191025C143,15,"3,156",.005,.005,-.053,.001,.00,40.69%,.00500007,<empty>,<empty>,0.51%,1.03%,99.49%,1.35%,2040.06%,.005,0 x 1,0,1,-66.67%,.01,.01,Q,.01,.01,.01,0,P,.01,Z,25 OCT 19,143,6.90,B,8.50,B,IBM191025P143,0,28,-.937,.026,-.362,.009,-.004,67.29%,7.70,28.43%,5.69%,94.09%,11.92%,5.91%,37.75%,<empty>,7.700,9 x 9,9,9,0.00%,8.75,8.75,B,0,0,0,,
,,IBM191025C144,100,757,.005,.004,-.056,.001,.00,45.28%,.00499993,<empty>,<empty>,0.46%,0.93%,99.54%,1.35%,2309.73%,.005,0 x 23,0,23,0.00%,.01,.01,M,.01,.01,.01,0,P,.01,Q,25 OCT 19,144,8.05,B,9.05,E,IBM191025P144,0,4,-1.000,.00,.00,.00,.00,--,<empty>,31.56%,6.31%,100.00%,0.00%,0.00%,-2.70%,<empty>,8.550,9 x 2,9,2,0.00%,10.80,10.80,D,0,0,0,,
,,IBM191025C145,0,"1,006",.005,.004,-.059,.001,.00,49.80%,.00500154,<empty>,<empty>,0.42%,0.85%,99.58%,1.35%,2579.40%,.005,0 x 12,0,12,0.00%,.01,.01,C,0,0,0,0,Q,.01,Q,25 OCT 19,145,8.90,E,11.10,B,IBM191025P145,0,6,-.882,.026,-.786,.014,-.004,107.51%,10.00,36.92%,7.41%,89.29%,21.73%,10.71%,118.66%,<empty>,10.000,2 x 9,2,9,0.00%,11.25,11.25,C,0,0,0,,
,,IBM191025C146,0,230,.004,.003,-.062,.001,.00,54.23%,.00500101,<empty>,<empty>,0.39%,0.78%,99.61%,1.35%,2849.07%,.005,0 x 1,0,1,0.00%,.01,.01,C,0,0,0,0,Q,.01,Q,25 OCT 19,146,10.20,E,11.90,B,IBM191025P146,0,1,-.881,.024,-.872,.014,-.004,118.70%,11.05,40.79%,8.19%,89.27%,21.80%,10.73%,132.14%,<empty>,11.050,2 x 9,2,9,0.00%,12.24,12.24,X,0,0,0,,
,,IBM191025C147,0,237,.004,.003,-.064,.001,.00,58.61%,.00499992,<empty>,<empty>,0.36%,0.72%,99.64%,1.35%,3118.74%,.005,0 x 34,0,34,0.00%,.01,.01,C,0,0,0,0,C,.01,C,25 OCT 19,147,10.60,B,12.85,W,IBM191025P147,0,5,-.945,.016,-.477,.008,-.004,96.22%,11.73,43.28%,8.67%,95.09%,9.93%,4.91%,44.50%,<empty>,11.725,9 x 1,9,1,0.00%,5.80,5.80,N,0,0,0,,
,,IBM191025C148,1,432,.004,.002,-.066,.001,.00,62.91%,.00499996,<empty>,<empty>,0.33%,0.67%,99.67%,1.35%,3388.41%,.005,0 x 25,0,25,0.00%,.01,.01,E,.01,.01,.01,0,C,.01,X,25 OCT 19,148,11.90,B,13.75,E,IBM191025P148,0,0,-.927,.017,-.654,.010,-.004,114.02%,12.83,47.35%,9.49%,93.55%,13.09%,6.45%,71.46%,<empty>,12.825,9 x 2,9,2,0.00%,12.87,12.87,X,0,0,0,,
,,IBM191025C149,0,276,.003,.002,-.068,.001,.00,67.16%,.00499997,<empty>,<empty>,0.31%,0.63%,99.69%,1.35%,3658.09%,.005,0 x 5,0,5,0.00%,.01,.01,M,0,0,0,0,Z,.01,Z,25 OCT 19,149,12.85,E,15.05,X,IBM191025P149,0,0,-.910,.017,-.848,.011,-.004,132.51%,13.95,51.50%,10.33%,92.10%,16.06%,7.90%,105.17%,<empty>,13.950,1 x 21,1,21,0.00%,13.50,13.50,Q,0,0,0,,
,,IBM191025C150,1,"1,148",.003,.002,-.071,.001,.00,71.36%,.00499896,<empty>,<empty>,0.29%,0.59%,99.71%,1.35%,3927.76%,.005,0 x 218,0,218,0.00%,.01,.01,E,.01,.01,.01,0,N,.01,N,25 OCT 19,150,13.95,E,15.65,B,IBM191025P150,2,2,-.938,.014,-.656,.009,-.004,124.19%,14.80,54.64%,10.95%,94.58%,11.01%,5.42%,64.72%,<empty>,14.800,2 x 9,2,9,-1.15%,15.47,15.47,C,15.45,15.47,15.45,,
,,IBM191025C152.5,0,419,.003,.002,-.075,.001,.00,81.62%,.00499994,<empty>,<empty>,0.25%,0.51%,99.75%,1.35%,4601.93%,.005,0 x 21,0,21,0.00%,.01,.01,C,0,0,0,0,N,.01,B,25 OCT 19,152.5,16.25,E,18.30,B,IBM191025P152.5,0,0,-.948,.011,-.657,.008,-.004,136.36%,17.28,63.77%,12.78%,95.54%,9.06%,4.46%,57.98%,<empty>,17.275,1 x 9,1,9,0.00%,11.25,11.25,N,0,0,0,,
,,IBM191025C155,0,314,.003,.001,-.080,.001,.00,91.59%,.0049992,<empty>,<empty>,0.23%,0.45%,99.77%,1.35%,5276.11%,.005,0 x 25,0,25,0.00%,.01,.01,M,0,0,0,0,N,.01,X,25 OCT 19,155,19.05,B,21.10,X,IBM191025P155,0,0,-.912,.012,-1.162,.011,-.004,183.65%,20.08,74.11%,14.88%,92.68%,14.96%,7.32%,138.88%,<empty>,20.075,9 x 31,9,31,0.00%,20.37,20.37,I,0,0,0,,
,,IBM191025C157.5,0,772,.002,.001,-.084,.001,.00,101.29%,.00499998,<empty>,<empty>,0.20%,0.41%,99.80%,1.35%,5950.29%,.005,0 x 38,0,38,0.00%,.01,.01,I,0,0,0,0,N,.01,N,25 OCT 19,157.5,21.25,B,23.50,E,IBM191025P157.5,0,0,-.942,.009,-.918,.008,-.004,178.56%,22.38,82.60%,16.56%,95.18%,9.84%,4.82%,84.95%,<empty>,22.375,9 x 2,9,2,<empty>,0,0, ,0,0,0,,
,,IBM191025C160,0,581,.002,.001,-.088,.00,.00,110.75%,.00499999,<empty>,<empty>,0.18%,0.37%,99.82%,1.35%,6624.46%,.005,0 x 33,0,33,0.00%,.01,.01,H,0,0,0,0,N,.01,X,25 OCT 19,160,23.95,E,26.15,I,IBM191025P160,0,0,-.925,.009,-1.243,.010,-.004,212.53%,25.05,92.48%,18.56%,94.00%,12.30%,6.00%,132.14%,<empty>,25.050,2 x 21,2,21,<empty>,0,0, ,0,0,0,,
,,IBM191025C162.5,0,80,.002,.001,-.092,.00,.00,119.99%,.005,<empty>,<empty>,0.17%,0.34%,99.83%,1.35%,7298.64%,.005,0 x 34,0,34,0.00%,.08,.08,Q,0,0,0,0,N,.01,N,25 OCT 19,162.5,26.15,M,28.70,M,IBM191025P162.5,0,0,-.943,.008,-1.090,.008,-.004,213.25%,27.43,101.24%,20.30%,95.44%,9.35%,4.56%,98.43%,<empty>,27.425,21 x 21,21,21,<empty>,0,0, ,0,0,0,,
,,IBM191025C165,0,212,.002,.001,-.095,.00,.00,129.01%,.0049996,<empty>,<empty>,0.15%,0.31%,99.85%,1.35%,7972.82%,.005,0 x 10,0,10,0.00%,.07,.07,C,0,0,0,0,P,.01,P,25 OCT 19,165,28.80,B,31.15,X,IBM191025P165,0,0,-.940,.007,-1.219,.008,-.004,233.22%,29.98,110.66%,22.20%,95.35%,9.55%,4.65%,111.91%,<empty>,29.975,9 x 21,9,21,<empty>,0,0, ,0,0,0,,
,,IBM191025C167.5,0,202,.002,.001,-.099,.00,.00,137.84%,.00499999,<empty>,<empty>,0.14%,0.29%,99.86%,1.35%,8647.00%,.005,0 x 10,0,10,0.00%,.01,.01,C,0,0,0,0,P,.01,P,25 OCT 19,167.5,30.70,B,33.70,M,IBM191025P167.5,0,0,-.975,.004,-.661,.004,-.004,201.91%,32.20,118.87%,23.80%,98.05%,3.98%,1.95%,37.75%,<empty>,32.200,9 x 21,9,21,0.00%,25.80,25.80,D,0,0,0,,

1 NOV 19  (7)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,IBM191101C110,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-1.35%,0.00%,25.400,9 x 1,9,1,<empty>,0,0, ,0,0,0,24.60,B,26.20,E,1 NOV 19,110,0,B,.06,C,IBM191101P110,0,1,-.008,.002,-.018,.004,.00,58.78%,.03026949,0.27%,0.03%,0.96%,1.89%,99.04%,1.01%,<empty>,.030,0 x 27,0,27,0.00%,.15,.15,D,0,0,0,,
,,IBM191101C114,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-1.35%,0.00%,21.400,3 x 2,3,2,<empty>,0,0, ,0,0,0,20.60,E,22.20,E,1 NOV 19,114,0,B,.03,P,IBM191101P114,0,4,-.005,.002,-.010,.003,.00,45.73%,.0150187,0.13%,0.01%,0.62%,1.21%,99.38%,0.51%,<empty>,.015,0 x 26,0,26,0.00%,.04,.04,M,0,0,0,,
,,IBM191101C115,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-6.40%,0.00%,20.250,9 x 1,9,1,<empty>,0,0, ,0,0,0,19.65,B,20.85,E,1 NOV 19,115,0,B,.06,B,IBM191101P115,0,12,-.009,.003,-.017,.005,.00,47.47%,.03032072,0.26%,0.03%,1.12%,2.20%,98.88%,1.01%,<empty>,.030,0 x 31,0,31,0.00%,.04,.04,D,0,0,0,,
,,IBM191101C116,0,0,.942,.003,-.074,.020,.005,61.20%,19.50,<empty>,<empty>,95.13%,9.53%,4.87%,2.02%,2.02%,19.500,9 x 2,9,2,<empty>,0,0, ,0,0,0,18.90,B,20.10,E,1 NOV 19,116,0,B,.07,N,IBM191101P116,0,0,-.011,.003,-.019,.006,.00,46.15%,.03533051,0.30%,0.03%,1.31%,2.57%,98.69%,1.18%,<empty>,.035,0 x 39,0,39,<empty>,0,0, ,0,0,0,,
