Stock quote and option quote for AIG on 9/1/19 18:03:02

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
52.04,N,-.42,51.70,P,52.25,P,5 x 5,"4,565,049",52.88,52.88,51.80

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.46%,-650.5,.32,Q,9/16/19,57.585,36.16,"869,908,300",0.82

Theo parameters
Theo date,Theo stock price,Theo volatility
9/1/19, 0.00$, 0.00%

6 SEP 19  (5)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190906C50,0,1,.817,.111,-.050,.018,.005,35.06%,2.27,<empty>,<empty>,80.67%,38.16%,19.33%,26.90%,26.90%,2.270,354 x 495,354,495,0.00%,5.06,5.06,C,0,0,0,2.13,M,2.41,X,6 SEP 19,50,.14,X,.19,H,AIG190906P50,161,"1,417",-.152,.114,-.040,.016,-.001,30.88%,.16541759,1.97%,0.33%,16.14%,31.92%,83.86%,19.30%,<empty>,.165,424 x 90,424,90,-15.00%,.17,.17,A,.15,.21,.14,,
,,AIG190906C50.5,0,0,.776,.141,-.051,.020,.006,31.48%,1.81,<empty>,<empty>,76.50%,46.40%,23.50%,31.58%,31.58%,1.810,718 x 623,718,623,<empty>,0,0, ,0,0,0,1.65,X,1.97,X,6 SEP 19,50.5,.20,X,.26,Z,AIG190906P50.5,0,61,-.206,.146,-.046,.019,-.002,29.19%,.23001927,2.59%,0.46%,21.70%,42.90%,78.30%,26.90%,<empty>,.230,364 x 9,364,9,0.00%,.20,.20,N,0,0,0,,
,,AIG190906C51,6,3,.709,.174,-.054,.023,.005,29.42%,1.40,<empty>,<empty>,69.65%,59.90%,30.35%,42.11%,42.11%,1.400,170 x 447,170,447,-37.26%,1.33,1.33,E,1.33,1.33,1.33,1.32,C,1.48,X,6 SEP 19,51,.28,H,.38,Z,AIG190906P51,134,"1,443",-.281,.181,-.051,.022,-.002,27.91%,.33033069,3.52%,0.65%,29.31%,57.91%,70.69%,38.60%,<empty>,.330,60 x 10,60,10,-8.33%,.33,.33,Q,.24,.40,.24,,
,,AIG190906C51.5,0,0,.619,.201,-.058,.025,.005,28.41%,1.05,<empty>,<empty>,60.49%,77.90%,39.51%,59.66%,59.66%,1.050,111 x 606,111,606,<empty>,0,0, ,0,0,0,.98,W,1.12,X,6 SEP 19,51.5,.40,X,.51,H,AIG190906P51.5,50,15,-.372,.217,-.053,.025,-.003,26.08%,.45501254,4.61%,0.89%,38.47%,75.95%,61.53%,53.22%,<empty>,.455,547 x 172,547,172,-1.75%,.56,.56,P,.42,.56,.42,,
,,AIG190906C52,305,4,.515,.221,-.057,.027,.004,26.96%,.73498357,<empty>,<empty>,50.11%,98.27%,49.89%,81.30%,81.30%,.735,11 x 346,11,346,-48.84%,.66,.66,E,.80,.80,.66,.69,H,.78,X,6 SEP 19,52,.60,X,.70,H,AIG190906P52,105,"1,158",-.485,.238,-.054,.027,-.004,25.12%,.64999413,6.27%,1.27%,49.78%,98.14%,50.22%,76.03%,<empty>,.650,576 x 11,576,11,+10.00%,.66,.66,Q,.50,.73,.50,,
,,AIG190906C52.5,8,10,.399,.227,-.053,.026,.003,25.53%,.47504832,<empty>,<empty>,38.68%,78.40%,61.32%,55.56%,109.37%,.475,253 x 365,253,365,-46.81%,.50,.50,Q,.53,.53,.50,.43,X,.52,X,6 SEP 19,52.5,.83,X,.99,X,AIG190906P52.5,0,37,-.605,.236,-.051,.026,-.005,24.41%,.91001334,8.74%,1.76%,61.77%,77.45%,38.23%,52.64%,<empty>,.910,481 x 447,481,447,0.00%,.66,.66,A,0,0,0,,
,,AIG190906C53,7,78,.292,.203,-.047,.023,.002,25.39%,.30535563,<empty>,<empty>,28.08%,56.83%,71.92%,35.68%,147.97%,.305,76 x 873,76,873,-49.21%,.32,.32,C,.36,.36,.32,.26,H,.35,X,6 SEP 19,53,1.10,X,1.31,X,AIG190906P53,9,140,-.732,.219,-.041,.022,-.006,22.54%,1.21,11.58%,2.33%,74.21%,52.12%,25.79%,28.66%,<empty>,1.205,483 x 304,483,304,+38.46%,1.08,1.08,C,1.09,1.09,1.07,,
,,AIG190906C53.5,47,183,.189,.168,-.036,.018,.002,24.15%,.16505216,<empty>,<empty>,18.09%,36.54%,81.91%,19.30%,190.08%,.165,82 x 618,82,618,-50.00%,.18,.18,Q,.27,.27,.18,.13,I,.20,X,6 SEP 19,53.5,1.48,X,1.71,X,AIG190906P53.5,0,0,-.831,.170,-.031,.017,-.007,22.23%,1.60,15.32%,3.07%,83.84%,32.61%,16.16%,15.79%,<empty>,1.595,391 x 398,391,398,<empty>,0,0, ,0,0,0,,
,,AIG190906C54,22,275,.096,.117,-.021,.011,.001,21.93%,.06524964,<empty>,<empty>,9.14%,18.43%,90.86%,7.60%,236.87%,.065,160 x 5,160,5,-70.37%,.08,.08,C,.10,.10,.08,.06,H,.07,Z,6 SEP 19,54,1.92,X,2.13,M,AIG190906P54,0,200,-.907,.115,-.021,.011,-.008,21.64%,2.03,19.46%,3.90%,91.14%,17.85%,8.86%,7.60%,<empty>,2.025,430 x 269,430,269,0.00%,1.57,1.57,M,0,0,0,,
,,AIG190906C54.5,0,0,.066,.081,-.018,.009,.001,23.76%,.04548858,<empty>,<empty>,6.25%,12.59%,93.75%,5.26%,293.02%,.045,59 x 125,59,125,<empty>,0,0, ,0,0,0,.03,W,.06,Z,6 SEP 19,54.5,2.37,H,2.67,H,AIG190906P54.5,0,0,-.923,.086,-.021,.010,-.008,25.05%,2.52,24.21%,4.85%,92.75%,14.63%,7.25%,7.02%,<empty>,2.520,107 x 76,107,76,<empty>,0,0, ,0,0,0,,
,,AIG190906C55,0,221,.039,.052,-.012,.006,.00,24.37%,.02548218,<empty>,<empty>,3.68%,7.41%,96.32%,2.92%,349.17%,.025,0 x 189,0,189,0.00%,.20,.20,M,0,0,0,0,P,.05,H,6 SEP 19,55,2.74,M,3.10,P,AIG190906P55,0,127,-1.000,.00,.00,.030,.00,--,<empty>,28.06%,5.61%,100.00%,0.00%,0.00%,-4.68%,<empty>,2.920,130 x 15,130,15,0.00%,1.28,1.28,C,0,0,0,,
,,AIG190906C55.5,0,0,.090,.066,-.034,.011,.001,36.84%,.10045785,<empty>,<empty>,8.25%,16.70%,91.75%,11.70%,416.43%,.100,0 x 771,0,771,<empty>,0,0, ,0,0,0,0,W,.20,X,6 SEP 19,55.5,3.30,M,3.70,B,AIG190906P55.5,0,0,-.953,.049,-.018,.007,-.009,29.62%,3.50,33.63%,6.73%,95.69%,8.69%,4.31%,4.68%,<empty>,3.500,177 x 47,177,47,<empty>,0,0, ,0,0,0,,
,,AIG190906C56,0,332,.125,.064,-.056,.014,.001,48.47%,.19514198,<empty>,<empty>,11.26%,22.88%,88.74%,22.81%,486.03%,.195,0 x 714,0,714,0.00%,.09,.09,I,0,0,0,0,N,.39,X,6 SEP 19,56,3.80,A,4.25,M,AIG190906P56,0,28,-.939,.049,-.026,.008,-.009,36.42%,4.03,38.67%,7.74%,94.48%,11.16%,5.52%,7.60%,<empty>,4.025,56 x 58,56,58,0.00%,1.15,1.15,Q,0,0,0,,
,,AIG190906C56.5,0,0,.112,.055,-.055,.013,.001,51.35%,.18015141,<empty>,<empty>,9.97%,20.26%,90.03%,21.06%,542.76%,.180,0 x 288,0,288,<empty>,0,0, ,0,0,0,0,P,.36,X,6 SEP 19,56.5,4.30,W,4.75,B,AIG190906P56.5,0,0,-.943,.043,-.027,.008,-.009,39.84%,4.53,43.48%,8.71%,94.92%,10.27%,5.08%,7.60%,<empty>,4.525,30 x 36,30,36,<empty>,0,0, ,0,0,0,,
,,AIG190906C57,0,337,.104,.049,-.056,.012,.001,54.82%,.17528019,<empty>,<empty>,9.14%,18.61%,90.86%,20.47%,600.67%,.175,0 x 132,0,132,0.00%,.06,.06,X,0,0,0,0,W,.35,Z,6 SEP 19,57,4.80,M,5.30,B,AIG190906P57,0,0,-.933,.042,-.035,.009,-.009,46.37%,5.05,48.52%,9.72%,94.09%,11.97%,5.91%,10.53%,<empty>,5.050,209 x 53,209,53,<empty>,0,0, ,0,0,0,,
,,AIG190906C57.5,0,0,.098,.044,-.058,.012,.001,58.56%,.17500249,<empty>,<empty>,8.57%,17.45%,91.43%,20.47%,659.15%,.175,0 x 128,0,128,<empty>,0,0, ,0,0,0,0,D,.35,Z,6 SEP 19,57.5,5.25,B,5.80,B,AIG190906P57.5,0,0,-.950,.033,-.029,.007,-.009,46.48%,5.53,53.08%,10.63%,95.60%,8.92%,4.40%,7.60%,<empty>,5.525,36 x 36,36,36,<empty>,0,0, ,0,0,0,,
,,AIG190906C58,0,767,.040,.027,-.025,.006,.00,47.53%,.05003489,<empty>,<empty>,3.50%,7.09%,96.50%,5.85%,703.02%,.050,0 x 1,0,1,0.00%,.49,.49,Q,0,0,0,0,N,.10,N,6 SEP 19,58,5.70,C,6.35,A,AIG190906P58,0,0,-.953,.030,-.029,.007,-.009,49.64%,6.03,57.89%,11.59%,95.88%,8.35%,4.12%,7.60%,<empty>,6.025,64 x 46,64,46,<empty>,0,0, ,0,0,0,,
,,AIG190906C58.5,0,0,.038,.025,-.025,.006,.00,50.59%,.05031923,<empty>,<empty>,3.30%,6.69%,96.70%,5.85%,761.51%,.050,0 x 1,0,1,<empty>,0,0, ,0,0,0,0,N,.10,N,6 SEP 19,58.5,6.30,T,6.70,P,AIG190906P58.5,0,0,-.968,.022,-.021,.005,-.009,48.22%,6.50,62.45%,12.50%,97.29%,5.49%,2.71%,4.68%,<empty>,6.500,18 x 12,18,12,<empty>,0,0, ,0,0,0,,
,,AIG190906C59,0,118,.036,.022,-.026,.005,.00,53.50%,.05001619,<empty>,<empty>,3.10%,6.29%,96.90%,5.85%,819.99%,.050,0 x 1,0,1,0.00%,.09,.09,X,0,0,0,0,N,.10,N,6 SEP 19,59,6.75,X,7.25,P,AIG190906P59,0,1,-.970,.020,-.021,.005,-.009,51.07%,7.00,67.26%,13.46%,97.45%,5.17%,2.55%,4.68%,<empty>,7.000,36 x 7,36,7,0.00%,6.07,6.07,M,0,0,0,,
,,AIG190906C59.5,0,0,.055,.026,-.042,.007,.00,63.68%,.09538376,<empty>,<empty>,4.62%,9.40%,95.38%,11.11%,883.74%,.095,0 x 130,0,130,<empty>,0,0, ,0,0,0,0,P,.19,Z,6 SEP 19,59.5,7.20,B,7.85,M,AIG190906P59.5,0,0,-.959,.022,-.031,.006,-.009,58.87%,7.53,72.30%,14.48%,96.52%,7.07%,3.48%,7.60%,<empty>,7.525,36 x 70,36,70,<empty>,0,0, ,0,0,0,,
,,AIG190906C60,0,0,.052,.024,-.042,.007,.00,66.77%,.09530387,<empty>,<empty>,4.39%,8.95%,95.61%,11.11%,942.23%,.095,0 x 138,0,138,<empty>,0,0, ,0,0,0,0,C,.19,X,6 SEP 19,60,7.50,M,8.35,M,AIG190906P60,0,0,-1.000,.00,.00,.013,.00,--,<empty>,76.14%,15.22%,100.00%,0.00%,0.00%,-4.09%,<empty>,7.925,63 x 49,63,49,<empty>,0,0, ,0,0,0,,
,,AIG190906C61,0,1,.018,.012,-.017,.003,.00,58.23%,.02503622,<empty>,<empty>,1.51%,3.07%,98.49%,2.92%,1051.02%,.025,0 x 1,0,1,0.00%,.29,.29,P,0,0,0,0,P,.05,P,6 SEP 19,61,8.55,B,9.75,M,AIG190906P61,0,0,-.922,.026,-.071,.010,-.009,84.17%,9.15,87.91%,17.65%,93.66%,12.99%,6.34%,22.23%,<empty>,9.150,36 x 52,36,52,<empty>,0,0, ,0,0,0,,
,,AIG190906C62,0,0,.046,.018,-.045,.006,.00,78.62%,.09506517,<empty>,<empty>,3.68%,7.52%,96.32%,11.11%,1176.18%,.095,0 x 142,0,142,0.00%,.22,.22,I,0,0,0,0,C,.19,X,6 SEP 19,62,9.65,B,10.45,M,AIG190906P62,0,0,-.956,.018,-.043,.006,-.009,77.72%,10.05,96.56%,19.35%,96.47%,7.20%,3.53%,10.53%,<empty>,10.050,52 x 85,52,85,<empty>,0,0, ,0,0,0,,
,,AIG190906C63,0,0,.043,.016,-.046,.006,.00,84.28%,.09505051,<empty>,<empty>,3.41%,6.97%,96.59%,11.11%,1293.16%,.095,0 x 136,0,136,<empty>,0,0, ,0,0,0,0,C,.19,Z,6 SEP 19,63,10.60,M,11.40,B,AIG190906P63,0,0,-.977,.011,-.025,.004,-.009,72.83%,11.00,105.69%,21.15%,98.19%,3.68%,1.81%,4.68%,<empty>,11.000,46 x 52,46,52,<empty>,0,0, ,0,0,0,,
,,AIG190906C64,0,0,.041,.015,-.048,.006,.00,89.81%,.09518325,<empty>,<empty>,3.18%,6.50%,96.82%,11.11%,1410.13%,.095,0 x 136,0,136,<empty>,0,0, ,0,0,0,0,C,.19,Z,6 SEP 19,64,11.70,B,12.35,M,AIG190906P64,0,0,-.969,.012,-.036,.005,-.008,84.05%,12.03,115.54%,23.14%,97.59%,4.93%,2.41%,7.60%,<empty>,12.025,36 x 53,36,53,<empty>,0,0, ,0,0,0,,
,,AIG190906C65,0,0,.039,.013,-.049,.006,.00,95.15%,.09508736,<empty>,<empty>,2.97%,6.09%,97.03%,11.11%,1527.11%,.095,0 x 136,0,136,<empty>,0,0, ,0,0,0,0,C,.19,Z,6 SEP 19,65,12.65,M,13.40,M,AIG190906P65,0,0,-.970,.011,-.037,.004,-.008,89.27%,13.03,125.14%,25.06%,97.73%,4.64%,2.27%,7.60%,<empty>,13.025,36 x 44,36,44,<empty>,0,0, ,0,0,0,,

13 SEP 19  (12)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190913C45,0,0,.933,.012,-.021,.012,.005,47.88%,7.10,<empty>,<empty>,94.09%,11.60%,5.91%,3.24%,3.24%,7.100,70 x 36,70,36,<empty>,0,0, ,0,0,0,6.75,M,7.45,B,13 SEP 19,45,0,W,.30,X,AIG190913P45,0,0,-.064,.024,-.025,.012,-.001,52.38%,.15006356,3.33%,0.33%,7.78%,15.22%,92.22%,8.10%,<empty>,.150,0 x 636,0,636,<empty>,0,0, ,0,0,0,,
,,AIG190913C46,0,0,.920,.023,-.023,.014,.007,45.09%,6.15,<empty>,<empty>,92.01%,15.67%,7.99%,5.94%,5.94%,6.150,65 x 36,65,36,<empty>,0,0, ,0,0,0,5.90,X,6.40,B,13 SEP 19,46,0,W,.31,X,AIG190913P46,0,0,-.074,.031,-.025,.014,-.001,46.46%,.15510345,3.37%,0.34%,8.66%,16.98%,91.34%,8.37%,<empty>,.155,0 x 421,0,421,<empty>,0,0, ,0,0,0,,
,,AIG190913C47,0,0,.901,.035,-.026,.017,.009,41.68%,5.20,<empty>,<empty>,89.51%,20.58%,10.49%,8.64%,8.64%,5.200,22 x 63,22,63,<empty>,0,0, ,0,0,0,5.00,B,5.40,X,13 SEP 19,47,.08,Z,.13,X,AIG190913P47,0,0,-.065,.035,-.018,.013,-.001,36.50%,.10500458,1.96%,0.22%,7.46%,14.67%,92.54%,5.67%,<empty>,.105,131 x 156,131,156,<empty>,0,0, ,0,0,0,,
,,AIG190913C48,0,0,.899,.046,-.021,.017,.010,33.45%,4.18,<empty>,<empty>,89.37%,20.92%,10.63%,7.29%,7.29%,4.175,55 x 30,55,30,0.00%,5.29,5.29,X,0,0,0,3.95,M,4.40,W,13 SEP 19,48,.12,H,.17,Z,AIG190913P48,25,3,-.093,.051,-.021,.016,-.002,33.14%,.14514494,2.28%,0.30%,10.41%,20.49%,89.59%,7.83%,<empty>,.145,141 x 2,141,2,+45.45%,.16,.16,Z,.16,.16,.16,,
,,AIG190913C49,0,0,.833,.073,-.031,.024,.011,33.68%,3.33,<empty>,<empty>,81.94%,35.47%,18.06%,15.39%,15.39%,3.325,355 x 275,355,275,<empty>,0,0, ,0,0,0,3.20,X,3.45,X,13 SEP 19,49,.19,X,.25,Q,AIG190913P49,316,2,-.141,.075,-.026,.022,-.003,30.39%,.22008692,2.99%,0.45%,15.42%,30.35%,84.58%,11.88%,<empty>,.220,276 x 1,276,1,+33.33%,.24,.24,Q,.24,.24,.24,,
,,AIG190913C50,0,5,.768,.103,-.033,.030,.012,29.84%,2.44,<empty>,<empty>,75.15%,48.80%,24.85%,21.33%,21.33%,2.435,496 x 225,496,225,0.00%,5.11,5.11,C,0,0,0,2.31,X,2.56,X,13 SEP 19,50,.31,X,.39,Z,AIG190913P50,0,"1,122",-.217,.107,-.031,.029,-.004,27.98%,.35001744,4.18%,0.70%,23.33%,45.87%,76.67%,18.90%,<empty>,.350,371 x 110,371,110,0.00%,.46,.46,X,0,0,0,,
,,AIG190913C51,0,0,.657,.133,-.038,.036,.011,28.07%,1.68,<empty>,<empty>,63.74%,71.10%,36.26%,34.55%,34.55%,1.680,88 x 127,88,127,<empty>,0,0, ,0,0,0,1.61,H,1.75,X,13 SEP 19,51,.55,B,.64,Z,AIG190913P51,83,"1,024",-.335,.140,-.036,.036,-.006,26.57%,.59504389,6.35%,1.18%,35.41%,69.50%,64.59%,32.12%,<empty>,.595,36 x 9,36,9,+33.33%,.60,.60,Q,.68,.68,.60,,
,,AIG190913C52,105,0,.515,.153,-.039,.039,.009,26.69%,1.06,<empty>,<empty>,49.48%,98.82%,50.52%,55.07%,55.07%,1.060,25 x 285,25,285,<empty>,1.10,1.10,Q,.94,1.10,.94,1.01,D,1.11,M,13 SEP 19,52,.91,X,1.01,H,AIG190913P52,63,"2,027",-.485,.164,-.037,.039,-.009,24.94%,.95994075,9.26%,1.88%,50.43%,98.74%,49.57%,51.83%,<empty>,.960,195 x 11,195,11,+34.25%,.98,.98,Q,.78,1.03,.78,,
,,AIG190913C53,11,28,.357,.152,-.034,.037,.006,25.06%,.58004055,<empty>,<empty>,33.95%,69.16%,66.05%,31.31%,83.14%,.580,9 x 445,9,445,-30.49%,.57,.57,Q,.64,.64,.57,.52,Z,.64,X,13 SEP 19,53,1.37,X,1.59,M,AIG190913P53,24,64,-.655,.162,-.032,.036,-.013,23.19%,1.48,14.22%,2.87%,67.13%,66.89%,32.87%,28.07%,<empty>,1.480,567 x 475,567,475,+29.41%,1.54,1.54,I,1.45,1.55,1.45,,
,,AIG190913C54,11,128,.213,.123,-.026,.029,.004,24.06%,.28002081,<empty>,<empty>,20.03%,40.66%,79.97%,15.12%,120.93%,.280,9 x 269,9,269,-42.55%,.27,.27,N,.27,.27,.27,.23,Q,.33,X,13 SEP 19,54,1.98,X,2.39,X,AIG190913P54,0,79,-.810,.126,-.023,.027,-.016,21.81%,2.19,20.99%,4.22%,82.20%,36.09%,17.80%,12.15%,<empty>,2.185,477 x 311,477,311,0.00%,1.74,1.74,C,0,0,0,,
,,AIG190913C55,1,62,.110,.081,-.017,.018,.002,23.54%,.12032056,<empty>,<empty>,10.18%,20.62%,89.82%,6.48%,166.28%,.120,80 x 115,80,115,-56.00%,.11,.11,C,.11,.11,.11,.10,W,.14,Z,13 SEP 19,55,2.90,X,3.15,X,AIG190913P55,0,70,-.929,.069,-.011,.013,-.018,19.67%,3.03,29.06%,5.82%,93.49%,13.15%,6.51%,3.51%,<empty>,3.025,372 x 119,372,119,0.00%,2.56,2.56,C,0,0,0,,
,,AIG190913C56,0,39,.065,.051,-.012,.013,.001,25.39%,.07000523,<empty>,<empty>,5.96%,12.06%,94.04%,3.78%,217.57%,.070,184 x 619,184,619,0.00%,.15,.15,C,0,0,0,.03,X,.11,X,13 SEP 19,56,3.75,M,4.15,B,AIG190913P56,0,65,-1.000,.00,.00,.057,.00,--,<empty>,37.95%,7.59%,100.00%,0.00%,0.00%,-0.54%,<empty>,3.950,41 x 24,41,24,0.00%,3.40,3.40,C,0,0,0,,
,,AIG190913C57,0,58,.128,.052,-.033,.021,.002,41.19%,.25028243,<empty>,<empty>,11.27%,23.00%,88.73%,13.50%,281.28%,.250,0 x 732,0,732,0.00%,.13,.13,N,0,0,0,0,W,.50,X,13 SEP 19,57,4.80,B,5.15,B,AIG190913P57,0,0,-.985,.017,-.004,.004,-.020,21.83%,4.98,47.80%,9.56%,98.73%,2.56%,1.27%,0.81%,<empty>,4.975,16 x 45,16,45,<empty>,0,0, ,0,0,0,,
