Stock quote and option quote for AIG on 7/1/19 17:55:49

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
53.84,N,+.56,53.60,P,53.99,P,4 x 4,"3,199,846",53.53,53.97,53.17

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.38%,-185.7,.32,Q,6/13/19,56.36,36.16,"869,753,580",0.8

Theo parameters
Theo date,Theo stock price,Theo volatility
7/1/19, 0.00$, 0.00%

5 JUL 19  (4)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,,
,,AIG190705C54,114,89,.436,.413,-.036,.025,.003,15.11%,.30515152,<empty>,<empty>,42.95%,41.38%,63.09%,.305,58 x 73,58,73,+150.00%,.30,.30,H,.32,.13,57.05%,86.53%,.28,X,.33,X,5 JUL 19,54,.42,X,.51,X,AIG190705P54,0,23,-.564,.414,-.036,.025,-.004,15.07%,.46514623,4.32%,0.87%,57.07%,41.38%,<empty>,.465,36 x 495,36,495,0.00%,1.79,1.79,W,0,0,42.93%,86.50%,,
,,AIG190705C54.5,0,59,.245,.335,-.029,.020,.002,14.90%,.13500232,<empty>,<empty>,23.94%,18.32%,107.86%,.135,170 x 119,170,119,0.00%,.30,.30,Q,0,0,76.06%,48.15%,.10,X,.17,X,5 JUL 19,54.5,.65,X,.82,X,AIG190705P54.5,0,2,-.813,.366,-.020,.017,-.006,11.62%,.73502624,6.83%,1.37%,81.71%,10.18%,<empty>,.735,294 x 143,294,143,0.00%,1.45,1.45,C,0,0,18.29%,36.75%,,
,,AIG190705C55,0,166,.118,.205,-.019,.013,.001,15.27%,.05523844,<empty>,<empty>,11.45%,7.46%,164.85%,.055,100 x 169,100,169,0.00%,.07,.07,H,0,0,88.55%,23.02%,.03,X,.08,X,5 JUL 19,55,1.07,X,1.27,M,AIG190705P55,0,0,-.962,.127,-.006,.005,-.007,10.21%,1.17,10.87%,2.17%,96.34%,1.36%,<empty>,1.170,110 x 98,110,98,<empty>,0,0, ,0,0,3.66%,7.35%,,
,,AIG190705C55.5,0,44,.181,.149,-.046,.017,.001,27.95%,.17007534,<empty>,<empty>,17.22%,23.07%,248.29%,.170,0 x 99,0,99,0.00%,.05,.05,Z,0,0,82.78%,34.76%,0,T,.34,X,5 JUL 19,55.5,1.50,B,1.77,H,AIG190705P55.5,0,0,-1.000,.00,.00,.004,.00,--,<empty>,15.18%,3.04%,100.00%,-3.39%,<empty>,1.635,57 x 37,57,37,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190705C56,0,135,.072,.095,-.021,.009,.001,22.77%,.04512529,<empty>,<empty>,6.80%,6.11%,299.17%,.045,0 x 262,0,262,0.00%,.04,.04,X,0,0,93.20%,13.69%,0,D,.09,X,5 JUL 19,56,1.99,B,2.30,H,AIG190705P56,0,0,-1.000,.00,.00,.003,.00,--,<empty>,19.92%,3.98%,100.00%,-2.04%,<empty>,2.145,50 x 21,50,21,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190705C56.5,0,0,.145,.095,-.055,.014,.001,38.13%,.17513757,<empty>,<empty>,13.49%,23.74%,384.64%,.175,0 x 46,0,46,<empty>,0,0, ,0,0,86.51%,27.29%,0,J,.35,X,5 JUL 19,56.5,2.47,B,2.74,H,AIG190705P56.5,0,0,-1.000,.00,.00,.001,.00,--,<empty>,24.19%,4.83%,100.00%,-7.46%,<empty>,2.605,51 x 21,51,21,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190705C57,0,0,.134,.080,-.059,.014,.001,43.11%,.18015693,<empty>,<empty>,12.38%,24.42%,453.16%,.180,0 x 69,0,69,<empty>,0,0, ,0,0,87.62%,25.08%,0,J,.36,X,5 JUL 19,57,2.98,B,3.30,M,AIG190705P57,0,0,-1.000,.00,.00,.00,.00,--,<empty>,29.16%,5.83%,100.00%,-2.71%,<empty>,3.140,51 x 103,51,103,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190705C57.5,0,0,.122,.068,-.061,.013,.001,47.18%,.17517402,<empty>,<empty>,11.14%,23.74%,520.32%,.175,0 x 46,0,46,<empty>,0,0, ,0,0,88.86%,22.58%,0,J,.35,M,5 JUL 19,57.5,3.50,B,3.80,M,AIG190705P57.5,0,0,-1.000,.00,.00,.00,.00,--,<empty>,33.90%,6.78%,100.00%,-1.36%,<empty>,3.650,48 x 81,48,81,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190705C58,0,0,.116,.060,-.065,.012,.001,51.88%,.1801657,<empty>,<empty>,10.44%,24.42%,588.84%,.180,0 x 176,0,176,<empty>,0,0, ,0,0,89.56%,21.20%,0,J,.36,X,5 JUL 19,58,3.90,H,4.25,H,AIG190705P58,0,0,-1.000,.00,.00,.00,.00,--,<empty>,37.84%,7.56%,100.00%,-11.53%,<empty>,4.075,135 x 21,135,21,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190705C58.5,0,0,.107,.053,-.066,.012,.001,55.64%,.17516393,<empty>,<empty>,9.55%,23.74%,656.00%,.175,0 x 36,0,36,<empty>,0,0, ,0,0,90.45%,19.39%,0,J,.35,M,5 JUL 19,58.5,4.45,B,4.80,H,AIG190705P58.5,0,0,-1.000,.00,.00,.00,.00,--,<empty>,42.95%,8.58%,100.00%,-4.75%,<empty>,4.625,51 x 64,51,64,<empty>,0,0, ,0,0,0.00%,0.00%,,

12 JUL 19  (11)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,,
,,AIG190712C49,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,-3.67%,0.00%,4.775,48 x 41,48,41,<empty>,0,0, ,0,0,0.00%,<empty>,4.55,B,5.00,H,12 JUL 19,49,.01,I,.12,X,AIG190712P49,0,6,-.049,.033,-.014,.010,-.001,32.00%,.06546138,1.10%,0.13%,5.54%,3.67%,<empty>,.065,50 x 469,50,469,0.00%,.11,.11,C,0,0,94.46%,10.95%,,
,,AIG190712C49.5,0,0,.937,.021,-.013,.011,.005,28.12%,4.38,<empty>,<empty>,94.76%,1.98%,1.98%,4.375,48 x 19,48,19,<empty>,0,0, ,0,0,5.24%,10.36%,4.15,B,4.60,N,12 JUL 19,49.5,0,D,.07,X,AIG190712P49.5,0,0,-.035,.030,-.008,.008,-.001,25.84%,.03503486,0.54%,0.07%,3.83%,1.98%,<empty>,.035,0 x 214,0,214,<empty>,0,0, ,0,0,96.17%,7.60%,,
,,AIG190712C50,0,22,.916,.042,-.017,.015,.008,28.91%,3.93,<empty>,<empty>,91.70%,4.81%,4.81%,3.925,48 x 48,48,48,0.00%,3.94,3.94,X,0,0,8.30%,16.40%,3.80,B,4.05,B,12 JUL 19,50,.03,D,.06,H,AIG190712P50,0,0,-.045,.040,-.010,.009,-.001,24.42%,.04503432,0.65%,0.09%,4.96%,2.54%,<empty>,.045,39 x 154,39,154,<empty>,0,0, ,0,0,95.04%,9.83%,,
,,AIG190712C50.5,0,0,.911,.052,-.016,.015,.009,25.76%,3.43,<empty>,<empty>,91.11%,4.81%,4.81%,3.425,58 x 25,58,25,<empty>,0,0, ,0,0,8.89%,17.58%,3.25,B,3.60,P,12 JUL 19,50.5,.03,X,.07,X,AIG190712P50.5,0,0,-.054,.050,-.010,.011,-.001,22.23%,.05017498,0.67%,0.10%,5.84%,2.83%,<empty>,.050,56 x 75,56,75,<empty>,0,0, ,0,0,94.16%,11.58%,,
,,AIG190712C51,0,0,.896,.069,-.017,.017,.010,23.49%,2.94,<empty>,<empty>,89.45%,5.65%,5.65%,2.940,49 x 37,49,37,<empty>,0,0, ,0,0,10.55%,20.89%,2.83,B,3.05,H,12 JUL 19,51,.05,B,.09,H,AIG190712P51,0,"1,071",-.075,.069,-.012,.014,-.001,21.05%,.07014352,0.88%,0.14%,8.07%,3.96%,<empty>,.070,48 x 108,48,108,0.00%,.22,.22,E,0,0,91.93%,15.99%,,
,,AIG190712C51.5,0,0,.865,.094,-.019,.021,.011,22.25%,2.48,<empty>,<empty>,86.00%,7.91%,7.91%,2.480,56 x 168,56,168,<empty>,0,0, ,0,0,14.00%,27.70%,2.37,X,2.59,X,12 JUL 19,51.5,.08,C,.12,X,AIG190712P51.5,0,0,-.106,.094,-.015,.018,-.002,19.93%,.10046506,1.19%,0.19%,11.30%,5.65%,<empty>,.100,27 x 84,27,84,<empty>,0,0, ,0,0,88.70%,22.39%,,
,,AIG190712C52,1,17,.819,.123,-.022,.026,.011,21.26%,2.04,<empty>,<empty>,81.11%,11.31%,11.31%,2.040,56 x 205,56,205,+44.07%,1.70,1.70,A,1.70,1.70,18.89%,37.36%,1.94,X,2.14,X,12 JUL 19,52,.12,H,.18,X,AIG190712P52,10,"2,102",-.153,.127,-.018,.023,-.003,19.04%,.15007712,1.68%,0.29%,16.12%,8.48%,<empty>,.150,71 x 81,71,81,-57.89%,.16,.16,Z,.16,.16,83.88%,31.94%,,
,,AIG190712C52.5,0,0,.754,.155,-.026,.031,.011,20.67%,1.64,<empty>,<empty>,74.31%,16.68%,16.68%,1.635,56 x 228,56,228,<empty>,0,0, ,0,0,25.69%,50.79%,1.52,X,1.75,C,12 JUL 19,52.5,.19,H,.24,X,AIG190712P52.5,5,2,-.214,.167,-.021,.028,-.004,17.86%,.21501082,2.28%,0.41%,22.33%,12.15%,<empty>,.215,51 x 102,51,102,-52.83%,.25,.25,Q,.25,.25,77.67%,44.21%,,
,,AIG190712C53,2,92,.684,.195,-.026,.035,.011,18.67%,1.22,<empty>,<empty>,67.24%,21.20%,21.20%,1.215,79 x 228,79,228,+17.98%,1.05,1.05,B,1.05,1.05,32.76%,64.75%,1.14,X,1.29,X,12 JUL 19,53,.31,Q,.35,W,AIG190712P53,110,80,-.303,.207,-.024,.034,-.005,17.28%,.33020147,3.32%,0.63%,31.38%,18.66%,<empty>,.330,21 x 52,21,52,-74.36%,.30,.30,Q,.52,.30,68.62%,62.08%,,
,,AIG190712C53.5,71,234,.583,.223,-.028,.038,.010,17.88%,.87524064,<empty>,<empty>,57.06%,30.24%,30.24%,.875,68 x 214,68,214,+8.22%,.79,.79,X,.79,.60,42.94%,84.79%,.80,X,.95,C,12 JUL 19,53.5,.46,P,.53,X,AIG190712P53.5,15,188,-.412,.238,-.026,.038,-.007,16.76%,.49519449,4.75%,0.93%,42.39%,27.98%,<empty>,.495,20 x 142,20,142,-33.33%,.56,.56,Z,.73,.56,57.61%,83.77%,,
,,AIG190712C54,74,153,.467,.237,-.027,.039,.008,17.15%,.59017452,<empty>,<empty>,45.53%,33.35%,42.40%,.590,17 x 80,17,80,+28.26%,.59,.59,Q,.63,.32,54.47%,92.24%,.56,P,.62,X,12 JUL 19,54,.66,B,.74,B,AIG190712P54,2,25,-.536,.257,-.025,.039,-.010,15.80%,.7001788,6.50%,1.31%,54.75%,30.53%,<empty>,.700,48 x 48,48,48,-12.39%,.99,.99,E,.99,.99,45.25%,91.60%,,
,,AIG190712C54.5,16,30,.347,.229,-.024,.036,.006,16.55%,.37006718,<empty>,<empty>,33.63%,20.92%,58.23%,.370,48 x 141,48,141,-28.13%,.23,.23,N,.23,.23,66.37%,68.01%,.34,H,.40,X,12 JUL 19,54.5,.95,X,1.06,C,AIG190712P54.5,0,0,-.659,.237,-.023,.036,-.012,15.81%,1.01,9.33%,1.88%,67.04%,19.50%,<empty>,1.005,36 x 128,36,128,<empty>,0,0, ,0,0,32.96%,66.62%,,
,,AIG190712C55,205,158,.239,.195,-.020,.030,.004,16.28%,.22000539,<empty>,<empty>,23.00%,12.44%,78.01%,.220,48 x 193,48,193,-38.10%,.13,.13,Z,.14,.13,77.00%,46.44%,.19,H,.25,X,12 JUL 19,55,1.19,C,1.42,X,AIG190712P55,1,0,-.803,.208,-.015,.027,-.014,13.62%,1.31,12.12%,2.43%,80.99%,8.20%,<empty>,1.305,262 x 287,262,287,<empty>,1.67,1.67,E,1.67,1.67,19.01%,38.32%,,
,,AIG190712C55.5,0,0,.154,.150,-.016,.023,.003,16.21%,.12506698,<empty>,<empty>,14.70%,7.07%,100.91%,.125,65 x 235,65,235,<empty>,0,0, ,0,0,85.30%,29.64%,.09,H,.16,X,12 JUL 19,55.5,1.58,C,1.83,C,AIG190712P55.5,0,0,-.916,.130,-.008,.015,-.015,12.02%,1.71,15.83%,3.17%,92.02%,2.54%,<empty>,1.705,212 x 101,212,101,<empty>,0,0, ,0,0,7.98%,16.05%,,
,,AIG190712C56,40,48,.095,.106,-.011,.017,.002,16.39%,.07024827,<empty>,<empty>,9.00%,3.96%,126.07%,.070,44 x 80,44,80,-20.00%,.04,.04,X,.04,.04,91.00%,18.15%,.05,X,.09,M,12 JUL 19,56,2.01,E,2.33,M,AIG190712P56,0,0,-.975,.053,-.003,.006,-.016,10.95%,2.17,20.15%,4.03%,97.69%,0.57%,<empty>,2.170,28 x 126,28,126,<empty>,0,0, ,0,0,2.31%,4.64%,,
,,AIG190712C56.5,0,0,.058,.071,-.008,.011,.001,16.78%,.04017139,<empty>,<empty>,5.46%,2.26%,152.64%,.040,0 x 250,0,250,<empty>,0,0, ,0,0,94.54%,10.99%,0,B,.08,X,12 JUL 19,56.5,2.51,B,2.74,H,AIG190712P56.5,0,0,-1.000,.00,.00,.003,.00,--,<empty>,24.38%,4.87%,100.00%,-1.98%,<empty>,2.625,50 x 34,50,34,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190712C57,1,2,.152,.081,-.029,.023,.003,29.88%,.22509949,<empty>,<empty>,13.98%,12.72%,191.36%,.225,0 x 323,0,323,-60.00%,.06,.06,E,.06,.06,86.02%,28.38%,0,B,.45,X,12 JUL 19,57,2.99,C,3.30,M,AIG190712P57,0,0,-1.000,.00,.00,.00,.00,--,<empty>,29.21%,5.84%,100.00%,-0.85%,<empty>,3.145,36 x 128,36,128,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190712C57.5,0,0,.139,.070,-.030,.022,.002,32.64%,.22011996,<empty>,<empty>,12.67%,12.44%,219.34%,.220,0 x 320,0,320,<empty>,0,0, ,0,0,87.33%,25.74%,0,B,.44,X,12 JUL 19,57.5,3.35,B,3.90,X,AIG190712P57.5,0,0,-1.000,.00,.00,.00,.00,--,<empty>,33.66%,6.73%,100.00%,-1.98%,<empty>,3.625,48 x 69,48,69,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190712C58,0,0,.140,.062,-.034,.022,.002,36.93%,.25011587,<empty>,<empty>,12.59%,14.13%,249.31%,.250,0 x 336,0,336,<empty>,0,0, ,0,0,87.41%,25.62%,0,B,.50,X,12 JUL 19,58,4.00,B,4.30,C,AIG190712P58,0,0,-1.000,.00,.00,.00,.00,--,<empty>,38.54%,7.71%,100.00%,-0.57%,<empty>,4.150,48 x 87,48,87,<empty>,0,0, ,0,0,0.00%,0.00%,,
,,AIG190712C58.5,0,0,.121,.054,-.031,.020,.002,38.05%,.21513732,<empty>,<empty>,10.78%,12.15%,275.59%,.215,0 x 342,0,342,<empty>,0,0, ,0,0,89.22%,21.93%,0,B,.43,X,12 JUL 19,58.5,4.40,B,4.75,B,AIG190712P58.5,0,0,-1.000,.00,.00,.00,.00,--,<empty>,42.49%,8.48%,100.00%,-4.81%,<empty>,4.575,64 x 64,64,64,<empty>,0,0, ,0,0,0.00%,0.00%,,

19 JUL 19  (18)  100
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,,
,,AIG190719C49,1,"3,462",.914,.032,-.014,.019,.013,29.58%,4.95,<empty>,<empty>,91.33%,3.93%,3.93%,4.950,50 x 35,50,35,+21.35%,4.49,4.49,X,4.49,4.49,8.67%,17.07%,4.75,C,5.15,W,19 JUL 19,49,.04,W,.08,M,AIG190719P49,2,"1,014",-.046,.032,-.008,.012,-.001,25.00%,.06021713,1.01%,0.12%,5.24%,2.14%,<empty>,.060,97 x 308,97,308,-15.38%,.11,.11,I,.11,.11,94.76%,10.34%,,
,,AIG190719C49.5,0,0,.910,.039,-.013,.019,.013,26.99%,4.45,<empty>,<empty>,90.88%,3.93%,3.93%,4.450,48 x 48,48,48,<empty>,0,0, ,0,0,9.12%,17.98%,4.30,B,4.60,B,19 JUL 19,49.5,.05,C,.10,X,AIG190719P49.5,0,0,-.059,.040,-.009,.014,-.002,23.92%,.07528805,1.17%,0.15%,6.53%,2.68%,<empty>,.075,72 x 349,72,349,<empty>,0,0, ,0,0,93.47%,12.89%,,
,,AIG190719C50,10,"4,198",.896,.049,-.014,.022,.015,25.58%,3.98,<empty>,<empty>,89.22%,4.82%,4.82%,3.975,48 x 48,48,48,+11.14%,3.99,3.99,C,3.99,3.55,10.78%,21.26%,3.85,B,4.10,B,19 JUL 19,50,.07,X,.12,X,AIG190719P50,367,"2,049",-.074,.050,-.011,.017,-.002,22.87%,.09531202,1.37%,0.19%,8.20%,3.39%,<empty>,.095,69 x 301,69,301,-38.10%,.13,.13,Q,.27,.12,91.80%,16.21%,,
,,AIG190719C50.5,0,0,.871,.063,-.017,.026,.016,24.99%,3.53,<empty>,<empty>,86.30%,6.61%,6.61%,3.525,61 x 48,61,48,<empty>,0,0, ,0,0,13.70%,27.00%,3.30,H,3.75,B,19 JUL 19,50.5,.09,X,.15,X,AIG190719P50.5,0,869,-.094,.063,-.012,.021,-.003,21.75%,.12026252,1.62%,0.24%,10.30%,4.28%,<empty>,.120,109 x 225,109,225,0.00%,.35,.35,Z,0,0,89.70%,20.35%,,
,,AIG190719C51,0,7,.842,.078,-.018,.029,.017,23.97%,3.08,<empty>,<empty>,83.21%,8.39%,8.39%,3.075,82 x 197,82,197,0.00%,2.22,2.22,Q,0,0,16.79%,33.08%,3.00,H,3.15,X,19 JUL 19,51,.13,C,.18,X,AIG190719P51,0,108,-.121,.079,-.014,.025,-.003,20.72%,.15515481,1.96%,0.30%,13.11%,5.53%,<empty>,.155,66 x 261,66,261,0.00%,.43,.43,N,0,0,86.89%,25.89%,,
,,AIG190719C51.5,0,10,.802,.094,-.021,.034,.018,23.48%,2.66,<empty>,<empty>,78.87%,11.25%,11.25%,2.655,106 x 271,106,271,0.00%,2.05,2.05,H,0,0,21.13%,41.61%,2.54,X,2.77,X,19 JUL 19,51.5,.18,H,.22,X,AIG190719P51.5,0,25,-.156,.099,-.015,.029,-.004,19.66%,.20043102,2.37%,0.39%,16.68%,7.14%,<empty>,.200,93 x 119,93,119,0.00%,.45,.45,Q,0,0,83.32%,32.94%,,
,,AIG190719C52,0,20,.773,.116,-.020,.037,.018,20.84%,2.18,<empty>,<empty>,76.01%,11.96%,11.96%,2.175,69 x 137,69,137,0.00%,1.31,1.31,Q,0,0,23.99%,47.29%,2.12,I,2.23,X,19 JUL 19,52,.24,X,.29,X,AIG190719P52,0,642,-.202,.122,-.017,.035,-.006,18.72%,.26501608,2.97%,0.51%,21.43%,9.46%,<empty>,.265,222 x 127,222,127,0.00%,.53,.53,N,0,0,78.57%,42.31%,,
,,AIG190719C52.5,16,"2,422",.711,.134,-.022,.042,.017,20.56%,1.80,<empty>,<empty>,69.59%,16.42%,16.42%,1.800,82 x 342,82,342,+9.15%,1.67,1.67,C,1.72,1.35,30.41%,59.88%,1.72,C,1.88,X,19 JUL 19,52.5,.35,H,.39,X,AIG190719P52.5,17,"2,332",-.266,.146,-.019,.040,-.008,18.25%,.37047671,3.92%,0.71%,27.99%,13.21%,<empty>,.370,21 x 130,21,130,-36.67%,.38,.38,Q,.51,.38,72.01%,55.23%,,
,,AIG190719C53,5,"1,513",.647,.157,-.023,.046,.016,19.22%,1.41,<empty>,<empty>,63.13%,20.35%,20.35%,1.410,21 x 144,21,144,+3.54%,1.17,1.17,C,1.17,1.17,36.87%,72.59%,1.37,H,1.45,X,19 JUL 19,53,.48,Q,.53,X,AIG190719P53,93,"1,289",-.341,.169,-.021,.045,-.010,17.69%,.5050462,5.09%,0.96%,35.65%,18.03%,<empty>,.505,8 x 384,8,384,-14.94%,.74,.74,H,.75,.72,64.35%,70.27%,,
